method,unit,band,condition,channel,erd_on_sd,ers_on_sd,erd_on_ttest,ers_on_ttest,erd_on_cusum,ers_on_cusum,erd_half_peak,ers_half_peak
hilbert,percent,mu,left,C3,0.684,-4.266,0.688,,-2.418,-4.16,0.662,2.638
hilbert,percent,mu,left,C4,,-4.492,,,-2.158,-3.746,0.28,3.388
hilbert,db,mu,left,C3,-2.398,-4.232,-2.372,,-3.644,-4.18,0.64,3.99
hilbert,db,mu,left,C4,,-3.376,-1.846,,-2.052,-4.008,0.16,3.422
hilbert,percent,beta,left,C3,,-3.228,,,-4.412,-3.496,0.218,2.076
hilbert,percent,beta,left,C4,-3.836,-4.184,,,-4.39,-3.4,0.27,2.352
hilbert,db,beta,left,C3,0.59,,,,-4.468,-3.612,0.23,2.318
hilbert,db,beta,left,C4,-3.85,-3.306,,,-4.41,-3.46,0.224,2.308
morlet,percent,mu,left,C3,0.666,-4.5,0.698,,-2.23,-4.46,0.68,2.66
morlet,percent,mu,left,C4,,-4.5,,,-2.844,-4.41,0.262,2.8
morlet,db,mu,left,C3,-0.67,-4.5,0.694,,-2.208,-4.436,0.66,3.566
morlet,db,mu,left,C4,,-3.58,,,-2.026,-4.35,0.21,3.462
morlet,percent,beta,left,C3,0.232,-4.218,,,-3.954,-4.172,0.216,2.324
morlet,percent,beta,left,C4,,-4.194,,,-3.786,-3.6,0.23,2.38
morlet,db,beta,left,C3,0.582,-3.19,,,-4.048,-4.146,0.22,2.326
morlet,db,beta,left,C4,,-4.188,,,-3.78,-3.91,0.216,2.488
multitaper,percent,mu,left,C3,0.592,-4.46,,,-1.966,-4.318,0.51,3.656
multitaper,percent,mu,left,C4,,-4.482,,,-2.05,-4.234,1.828,3.272
multitaper,db,mu,left,C3,0.482,-4.396,,,-1.582,-4.312,0.444,3.918
multitaper,db,mu,left,C4,,-3.876,,,-2.094,-4.108,1.746,3.308
multitaper,percent,beta,left,C3,0.17,-4.33,,,-3.812,-4.2,0.18,2.294
multitaper,percent,beta,left,C4,,-4.432,,,-3.82,-3.546,,2.356
multitaper,db,beta,left,C3,0.192,-4.274,,,-3.88,-4.188,0.21,2.588
multitaper,db,beta,left,C4,,-4.25,,,-4.428,-3.576,0.23,2.352
stft_welch,percent,mu,left,C3,-0.55,-4.25,-1.5,-4.25,-1.4,-4.2,0.0,3.95
stft_welch,percent,mu,left,C4,,-4.25,,,-2.0,-4.1,,2.5
stft_welch,db,mu,left,C3,-0.75,-4.25,-1.5,-4.2,-1.1,-4.2,0.0,
stft_welch,db,mu,left,C4,,-4.25,,,-1.7,-4.1,1.35,2.85
stft_welch,percent,beta,left,C3,-0.85,-3.45,,,-1.05,-3.35,0.0,2.0
stft_welch,percent,beta,left,C4,,-4.25,,,-2.5,0.3,,2.0
stft_welch,db,beta,left,C3,-4.25,-3.05,,,-4.1,-3.2,0.0,2.05
stft_welch,db,beta,left,C4,,-4.25,,,-2.45,0.75,,2.0
hilbert,percent,mu,right,C3,,-4.5,,,-3.184,-4.398,1.134,2.446
hilbert,percent,mu,right,C4,,-4.294,,,-2.644,-3.682,1.484,2.376
hilbert,db,mu,right,C3,2.226,-4.154,,,-3.168,-4.062,1.086,3.16
hilbert,db,mu,right,C4,1.504,1.12,,,-4.366,-4.018,0.0,3.792
hilbert,percent,beta,right,C3,,,,,-3.87,-4.082,0.074,2.084
hilbert,percent,beta,right,C4,0.426,-0.276,,,-3.804,-3.36,0.134,2.158
hilbert,db,beta,right,C3,,,4.046,,-4.202,-4.06,0.05,
hilbert,db,beta,right,C4,-3.812,3.766,,,-4.458,-2.808,0.118,3.78
morlet,percent,mu,right,C3,,-4.5,,,-3.198,-4.48,1.37,2.446
morlet,percent,mu,right,C4,,-4.5,,,-2.622,-4.44,1.51,2.774
morlet,db,mu,right,C3,,-4.5,,,-3.142,-4.45,0.198,
morlet,db,mu,right,C4,,-3.524,,,-2.646,-3.988,0.438,3.792
morlet,percent,beta,right,C3,,-4.124,,,-3.746,-4.486,0.358,2.596
morlet,percent,beta,right,C4,0.434,-0.268,,,-3.668,-3.612,0.116,2.176
morlet,db,beta,right,C3,0.84,,,,-3.714,-4.152,0.056,
morlet,db,beta,right,C4,-3.796,3.288,,,-3.768,-3.518,0.078,3.784
multitaper,percent,mu,right,C3,,-4.5,,,-3.016,-4.416,,3.162
multitaper,percent,mu,right,C4,,-4.43,,,-2.576,-3.77,,2.546
multitaper,db,mu,right,C3,2.134,-4.416,,,-3.048,-4.298,0.966,3.286
multitaper,db,mu,right,C4,-2.642,-3.972,,,-4.446,-3.916,1.382,3.728
multitaper,percent,beta,right,C3,,-4.5,,,-3.582,-4.452,0.098,2.0
multitaper,percent,beta,right,C4,-2.366,-3.55,,,-3.724,-3.454,0.124,2.14
multitaper,db,beta,right,C3,0.82,,,,-3.642,-4.13,0.082,
multitaper,db,beta,right,C4,-2.426,0.836,,,-4.458,-3.442,0.084,3.276
stft_welch,percent,mu,right,C3,1.85,-4.25,,,-1.8,-4.15,1.7,3.65
stft_welch,percent,mu,right,C4,,-4.25,,,-2.45,-4.0,,2.1
stft_welch,db,mu,right,C3,0.55,-4.15,,,-0.95,-3.9,1.15,
stft_welch,db,mu,right,C4,5.5,-4.25,,,-2.2,-3.7,,2.5
stft_welch,percent,beta,right,C3,-4.25,1.8,,,0.05,-2.45,0.0,2.0
stft_welch,percent,beta,right,C4,,-4.25,,,-3.3,0.4,,2.0
stft_welch,db,beta,right,C3,-4.25,,,,-3.9,-2.6,0.0,
stft_welch,db,beta,right,C4,-4.25,-0.85,,,-4.2,-0.05,,2.0
