comp_method,detector,band,channel,condition,n_trials,erd_onset_s,ers_onset_s,erd_onset_sd_s,ers_onset_sd_s
hilbert,thresh_sd,mu,COI-avg,left,24,,,,
hilbert,changepoint,mu,COI-avg,left,24,0.36286956521739133,1.6163333333333334,0.07245770198588346,0.1471946557000853
hilbert,halfpeak,mu,COI-avg,left,24,0.35741666666666666,3.103142857142857,0.13178702075917686,1.0884446832850205
hilbert,fdr,mu,COI-avg,left,24,0.3,1.5,5.565045170431277e-17,0.05018912573166166
hilbert,thresh_sd,beta,COI-avg,left,24,,,,
hilbert,changepoint,beta,COI-avg,left,24,0.6077999999999999,2.0061176470588236,0.4644421214861183,0.5840096191794426
hilbert,halfpeak,beta,COI-avg,left,24,0.44541666666666674,2.3214166666666665,0.22787828877002217,0.7590141155052598
hilbert,fdr,beta,COI-avg,left,24,,,,
morlet,thresh_sd,mu,COI-avg,left,24,,2.868,,0.956991118036108
morlet,changepoint,mu,COI-avg,left,24,0.4768235294117647,1.794,0.2831572520910681,0.5921020537924718
morlet,halfpeak,mu,COI-avg,left,24,0.6509166666666667,2.5050833333333333,0.398610621454361,0.9357548878552158
morlet,fdr,mu,COI-avg,left,24,,,,
morlet,thresh_sd,beta,COI-avg,left,24,,3.1232,,0.9294090595641944
morlet,changepoint,beta,COI-avg,left,24,0.538235294117647,1.7023809523809523,0.4215162407030963,0.48186538329604844
morlet,halfpeak,beta,COI-avg,left,24,0.5605833333333333,2.1946666666666665,0.34856050771169117,0.6885111010229857
morlet,fdr,beta,COI-avg,left,24,,,,
multitaper,thresh_sd,mu,COI-avg,left,24,1.3446666666666667,2.8416923076923077,0.9961853910459303,0.9361858242015296
multitaper,changepoint,mu,COI-avg,left,24,0.5375,2.1638,0.44246913263337745,0.9569512774266101
multitaper,halfpeak,mu,COI-avg,left,24,0.8146666666666667,2.7261818181818183,0.5280413905603684,0.9780162446972825
multitaper,fdr,mu,COI-avg,left,24,,,,
multitaper,thresh_sd,beta,COI-avg,left,24,0.496,2.3632,,0.5706115238155562
multitaper,changepoint,beta,COI-avg,left,24,0.5552941176470589,1.7754736842105263,0.4175469681224321,0.57976119302319
multitaper,halfpeak,beta,COI-avg,left,24,0.62,2.394,0.36143049124278376,0.8358633131444816
multitaper,fdr,beta,COI-avg,left,24,,,,
stft,thresh_sd,mu,COI-avg,left,24,,,,
stft,changepoint,mu,COI-avg,left,24,0.32125,,0.001648451183489469,
stft,halfpeak,mu,COI-avg,left,24,0.3,,0.0,
stft,fdr,mu,COI-avg,left,24,0.3,1.5,5.565045170431277e-17,0.0
stft,thresh_sd,beta,COI-avg,left,24,,,,
stft,changepoint,beta,COI-avg,left,24,0.32008333333333333,,0.0004082482904638634,
stft,halfpeak,beta,COI-avg,left,24,0.3,,0.0,
stft,fdr,beta,COI-avg,left,24,0.3,1.5,5.565045170431277e-17,0.0
hilbert,thresh_sd,mu,COI-avg,right,30,,,,
hilbert,changepoint,mu,COI-avg,right,30,0.4504666666666667,1.65,0.20560268570185578,0.0933380951166242
hilbert,halfpeak,mu,COI-avg,right,30,0.40000000000000013,2.7297999999999996,0.15725840803134097,0.919490166079682
hilbert,fdr,mu,COI-avg,right,30,0.3,1.5,0.0493995697090287,0.0
hilbert,thresh_sd,beta,COI-avg,right,30,,,,
hilbert,changepoint,beta,COI-avg,right,30,0.44515384615384607,1.9785,0.3127944618829039,0.5402357672447524
hilbert,halfpeak,beta,COI-avg,right,30,0.43526666666666675,2.2861333333333334,0.27309186699001486,0.5985050187519436
hilbert,fdr,beta,COI-avg,right,30,0.338,4.104,0.13887386802243323,1.0898576443125723
morlet,thresh_sd,mu,COI-avg,right,30,,2.482705882352941,,0.7050322479066012
morlet,changepoint,mu,COI-avg,right,30,0.38239999999999996,1.6761818181818184,0.12213154500666192,0.24591203157374647
morlet,halfpeak,mu,COI-avg,right,30,0.8302666666666666,2.5649333333333337,0.5574302451077798,0.848398854367422
morlet,fdr,mu,COI-avg,right,30,,,,
morlet,thresh_sd,beta,COI-avg,right,30,,2.7881818181818185,,1.0554894426929924
morlet,changepoint,beta,COI-avg,right,30,0.4274615384615385,1.8563636363636364,0.33002426950383285,0.4892480669309497
morlet,halfpeak,beta,COI-avg,right,30,0.4798,2.2515333333333336,0.27428469981339487,0.5851332140298647
