comp_method,detector,band,channel,condition,trial_id,erd_onset_s,ers_onset_s
hilbert,thresh_sd,mu,COI-avg,left,0,,
hilbert,thresh_sd,mu,COI-avg,left,1,,
hilbert,thresh_sd,mu,COI-avg,left,2,,
hilbert,thresh_sd,mu,COI-avg,left,3,,
hilbert,thresh_sd,mu,COI-avg,left,4,,
hilbert,thresh_sd,mu,COI-avg,left,5,,
hilbert,thresh_sd,mu,COI-avg,left,6,,
hilbert,thresh_sd,mu,COI-avg,left,7,,
hilbert,thresh_sd,mu,COI-avg,left,8,,
hilbert,thresh_sd,mu,COI-avg,left,9,,
hilbert,thresh_sd,mu,COI-avg,left,10,,
hilbert,thresh_sd,mu,COI-avg,left,11,,
hilbert,thresh_sd,mu,COI-avg,left,12,,
hilbert,thresh_sd,mu,COI-avg,left,13,,
hilbert,thresh_sd,mu,COI-avg,left,14,,
hilbert,thresh_sd,mu,COI-avg,left,15,,
hilbert,thresh_sd,mu,COI-avg,left,16,,
hilbert,thresh_sd,mu,COI-avg,left,17,,
hilbert,thresh_sd,mu,COI-avg,left,18,,
hilbert,thresh_sd,mu,COI-avg,left,19,,
hilbert,thresh_sd,mu,COI-avg,left,20,,
hilbert,thresh_sd,mu,COI-avg,left,21,,
hilbert,thresh_sd,mu,COI-avg,left,22,,
hilbert,thresh_sd,mu,COI-avg,left,23,,
hilbert,changepoint,mu,COI-avg,left,0,0.668,1.536
hilbert,changepoint,mu,COI-avg,left,1,0.342,1.588
hilbert,changepoint,mu,COI-avg,left,2,0.33,
hilbert,changepoint,mu,COI-avg,left,3,0.336,
hilbert,changepoint,mu,COI-avg,left,4,0.364,
hilbert,changepoint,mu,COI-avg,left,5,0.334,
hilbert,changepoint,mu,COI-avg,left,6,,1.562
hilbert,changepoint,mu,COI-avg,left,7,0.384,1.564
hilbert,changepoint,mu,COI-avg,left,8,0.348,
hilbert,changepoint,mu,COI-avg,left,9,0.326,
hilbert,changepoint,mu,COI-avg,left,10,0.33,1.914
hilbert,changepoint,mu,COI-avg,left,11,0.406,
hilbert,changepoint,mu,COI-avg,left,12,0.328,
hilbert,changepoint,mu,COI-avg,left,13,0.416,
hilbert,changepoint,mu,COI-avg,left,14,0.332,
hilbert,changepoint,mu,COI-avg,left,15,0.344,1.534
hilbert,changepoint,mu,COI-avg,left,16,0.326,
hilbert,changepoint,mu,COI-avg,left,17,0.418,
hilbert,changepoint,mu,COI-avg,left,18,0.336,
hilbert,changepoint,mu,COI-avg,left,19,0.338,
hilbert,changepoint,mu,COI-avg,left,20,0.33,
hilbert,changepoint,mu,COI-avg,left,21,0.328,
hilbert,changepoint,mu,COI-avg,left,22,0.344,
hilbert,changepoint,mu,COI-avg,left,23,0.338,
hilbert,halfpeak,mu,COI-avg,left,0,0.61,1.532
hilbert,halfpeak,mu,COI-avg,left,1,0.3,4.06
hilbert,halfpeak,mu,COI-avg,left,2,0.3,3.254
hilbert,halfpeak,mu,COI-avg,left,3,0.3,3.762
hilbert,halfpeak,mu,COI-avg,left,4,0.3,2.8
hilbert,halfpeak,mu,COI-avg,left,5,0.3,3.976
hilbert,halfpeak,mu,COI-avg,left,6,0.862,1.538
hilbert,halfpeak,mu,COI-avg,left,7,0.484,1.53
hilbert,halfpeak,mu,COI-avg,left,8,0.314,3.482
hilbert,halfpeak,mu,COI-avg,left,9,0.3,3.42
hilbert,halfpeak,mu,COI-avg,left,10,0.3,1.774
hilbert,halfpeak,mu,COI-avg,left,11,0.41,3.454
hilbert,halfpeak,mu,COI-avg,left,12,0.3,
hilbert,halfpeak,mu,COI-avg,left,13,0.378,4.122
hilbert,halfpeak,mu,COI-avg,left,14,0.3,4.976
hilbert,halfpeak,mu,COI-avg,left,15,0.3,1.5
hilbert,halfpeak,mu,COI-avg,left,16,0.3,
hilbert,halfpeak,mu,COI-avg,left,17,0.42,3.63
hilbert,halfpeak,mu,COI-avg,left,18,0.3,2.736
hilbert,halfpeak,mu,COI-avg,left,19,0.3,
hilbert,halfpeak,mu,COI-avg,left,20,0.3,3.492
hilbert,halfpeak,mu,COI-avg,left,21,0.3,3.39
hilbert,halfpeak,mu,COI-avg,left,22,0.3,1.948
hilbert,halfpeak,mu,COI-avg,left,23,0.3,4.79
hilbert,thresh_sd,beta,COI-avg,left,0,,
hilbert,thresh_sd,beta,COI-avg,left,1,,
hilbert,thresh_sd,beta,COI-avg,left,2,,
hilbert,thresh_sd,beta,COI-avg,left,3,,
hilbert,thresh_sd,beta,COI-avg,left,4,,
hilbert,thresh_sd,beta,COI-avg,left,5,,
hilbert,thresh_sd,beta,COI-avg,left,6,,
hilbert,thresh_sd,beta,COI-avg,left,7,,
hilbert,thresh_sd,beta,COI-avg,left,8,,
hilbert,thresh_sd,beta,COI-avg,left,9,,
hilbert,thresh_sd,beta,COI-avg,left,10,,
hilbert,thresh_sd,beta,COI-avg,left,11,,
hilbert,thresh_sd,beta,COI-avg,left,12,,
hilbert,thresh_sd,beta,COI-avg,left,13,,
hilbert,thresh_sd,beta,COI-avg,left,14,,
hilbert,thresh_sd,beta,COI-avg,left,15,,
hilbert,thresh_sd,beta,COI-avg,left,16,,
hilbert,thresh_sd,beta,COI-avg,left,17,,
hilbert,thresh_sd,beta,COI-avg,left,18,,
hilbert,thresh_sd,beta,COI-avg,left,19,,
hilbert,thresh_sd,beta,COI-avg,left,20,,
hilbert,thresh_sd,beta,COI-avg,left,21,,
hilbert,thresh_sd,beta,COI-avg,left,22,,
hilbert,thresh_sd,beta,COI-avg,left,23,,
hilbert,changepoint,beta,COI-avg,left,0,0.338,1.848
hilbert,changepoint,beta,COI-avg,left,1,,2.424
hilbert,changepoint,beta,COI-avg,left,2,0.412,1.556
hilbert,changepoint,beta,COI-avg,left,3,0.354,1.542
hilbert,changepoint,beta,COI-avg,left,4,0.954,2.184
hilbert,changepoint,beta,COI-avg,left,5,0.328,
hilbert,changepoint,beta,COI-avg,left,6,1.014,
hilbert,changepoint,beta,COI-avg,left,7,0.358,3.71
hilbert,changepoint,beta,COI-avg,left,8,,1.858
hilbert,changepoint,beta,COI-avg,left,9,0.354,2.808
hilbert,changepoint,beta,COI-avg,left,10,0.34,1.644
hilbert,changepoint,beta,COI-avg,left,11,,1.548
hilbert,changepoint,beta,COI-avg,left,12,,1.796
hilbert,changepoint,beta,COI-avg,left,13,1.944,1.56
hilbert,changepoint,beta,COI-avg,left,14,0.354,1.548
hilbert,changepoint,beta,COI-avg,left,15,0.636,1.772
hilbert,changepoint,beta,COI-avg,left,16,0.448,
hilbert,changepoint,beta,COI-avg,left,17,1.706,2.232
hilbert,changepoint,beta,COI-avg,left,18,0.36,1.626
hilbert,changepoint,beta,COI-avg,left,19,0.34,
hilbert,changepoint,beta,COI-avg,left,20,0.52,
hilbert,changepoint,beta,COI-avg,left,21,0.342,2.448
hilbert,changepoint,beta,COI-avg,left,22,0.692,
hilbert,changepoint,beta,COI-avg,left,23,0.362,
hilbert,halfpeak,beta,COI-avg,left,0,0.3,2.678
hilbert,halfpeak,beta,COI-avg,left,1,1.244,2.406
hilbert,halfpeak,beta,COI-avg,left,2,0.3,1.518
hilbert,halfpeak,beta,COI-avg,left,3,0.322,1.5
hilbert,halfpeak,beta,COI-avg,left,4,0.668,1.91
hilbert,halfpeak,beta,COI-avg,left,5,0.3,3.546
hilbert,halfpeak,beta,COI-avg,left,6,0.566,3.414
hilbert,halfpeak,beta,COI-avg,left,7,0.3,2.31
hilbert,halfpeak,beta,COI-avg,left,8,0.492,1.772
hilbert,halfpeak,beta,COI-avg,left,9,0.3,2.13
hilbert,halfpeak,beta,COI-avg,left,10,0.3,1.858
hilbert,halfpeak,beta,COI-avg,left,11,0.352,1.528
hilbert,halfpeak,beta,COI-avg,left,12,0.612,1.642
hilbert,halfpeak,beta,COI-avg,left,13,0.516,2.736
hilbert,halfpeak,beta,COI-avg,left,14,0.3,1.548
hilbert,halfpeak,beta,COI-avg,left,15,0.548,1.708
hilbert,halfpeak,beta,COI-avg,left,16,0.3,3.658
hilbert,halfpeak,beta,COI-avg,left,17,0.858,1.942
hilbert,halfpeak,beta,COI-avg,left,18,0.3,1.596
hilbert,halfpeak,beta,COI-avg,left,19,0.3,3.604
hilbert,halfpeak,beta,COI-avg,left,20,0.478,3.432
hilbert,halfpeak,beta,COI-avg,left,21,0.3,2.352
hilbert,halfpeak,beta,COI-avg,left,22,0.426,1.844
hilbert,halfpeak,beta,COI-avg,left,23,0.308,3.082
morlet,thresh_sd,mu,COI-avg,left,0,,
morlet,thresh_sd,mu,COI-avg,left,1,,1.54
morlet,thresh_sd,mu,COI-avg,left,2,,
morlet,thresh_sd,mu,COI-avg,left,3,,
morlet,thresh_sd,mu,COI-avg,left,4,,
morlet,thresh_sd,mu,COI-avg,left,5,,3.984
morlet,thresh_sd,mu,COI-avg,left,6,,1.512
morlet,thresh_sd,mu,COI-avg,left,7,,1.5
morlet,thresh_sd,mu,COI-avg,left,8,,3.476
morlet,thresh_sd,mu,COI-avg,left,9,,3.478
morlet,thresh_sd,mu,COI-avg,left,10,,
morlet,thresh_sd,mu,COI-avg,left,11,,
morlet,thresh_sd,mu,COI-avg,left,12,,
morlet,thresh_sd,mu,COI-avg,left,13,,4.074
