modality,hand,band,trial,delta_erd_onset_s,delta_erd_peak_s,delta_pmbr_peak_s,delta_erd_amp_pct,delta_pmbr_amp_pct
A,left,beta,0,-0.08000000000000002,1.3520000000000003,-0.1639999999999997,0.85246277,-15.408248901367188
A,left,beta,1,0.32799999999999996,0.8360000000000001,-1.7520000000000007,19.150917,-37.868316650390625
A,left,beta,2,0.048,0.6319999999999999,0.08399999999999963,8.474327,-87.25
A,left,beta,3,,,,,
A,left,beta,4,0.11199999999999999,0.6960000000000001,1.3479999999999999,15.67141,40.542572021484375
A,left,beta,5,0.032,0.21999999999999975,-0.21199999999999974,-1.557991,11.37725830078125
A,left,beta,6,0.0,1.4439999999999997,-1.8000000000000007,-5.4939804,-61.49122619628906
A,left,beta,7,-0.01200000000000001,1.1600000000000001,0.10799999999999876,8.663239,84.14472961425781
A,left,beta,8,-0.0040000000000000036,0.0,0.0,-0.009399414,-8.300537109375
A,left,beta,9,,,,,
A,left,beta,10,0.19999999999999998,0.9840000000000001,-0.20000000000000107,3.2188873,-23.26983642578125
A,left,beta,11,-0.768,-3.1839999999999997,-1.9240000000000004,-5.8453445,5.819580078125
A,left,beta,12,0.0,0.0,0.0,0.0,0.0
A,left,beta,14,,-1.088,0.3279999999999994,-0.8422928,-69.65987396240234
A,left,beta,15,0.9199999999999999,1.896,0.7479999999999993,-8.946381,-24.006240844726562
A,left,beta,16,,,,,
A,left,beta,18,-0.03599999999999992,-0.34799999999999986,-0.008000000000000007,2.7385254,-113.87042236328125
A,left,beta,19,0.004,1.788,0.0,-4.0518646,64.71354675292969
A,left,beta,20,0.6519999999999999,-3.16,-0.0039999999999995595,-21.975327,135.56922912597656
A,left,beta,21,0.8720000000000001,-1.1079999999999999,-1.5039999999999996,-4.736061,-40.15553283691406
A,left,beta,22,,,,,
A,left,beta,23,-0.04799999999999999,-0.028000000000000025,0.23600000000000065,-5.5234833,64.68582153320312
A,left,beta,24,0.36399999999999993,0.528,-1.096,3.6963196,89.59410095214844
A,left,beta,25,,,,,
A,left,beta,26,0.30000000000000004,-2.4159999999999995,-0.6239999999999997,7.656227,-150.51754760742188
A,left,mu,0,,,,,
A,left,mu,1,-0.19199999999999998,-2.1479999999999997,,-6.7248,
A,left,mu,2,,,,,
A,left,mu,3,,,,,
A,left,mu,4,0.0,-2.156,,-8.100052,
A,left,mu,5,,,,,
A,left,mu,6,0.152,1.288,,2.729805,
A,left,mu,7,0.364,-0.508,,23.80075,
A,left,mu,8,,,,,
A,left,mu,9,0.18800000000000006,0.1359999999999999,,10.581947,
A,left,mu,10,-0.076,-0.1200000000000001,,-14.535576,
A,left,mu,11,-0.476,1.2000000000000002,,2.1223068,
A,left,mu,12,0.0,0.0,,0.0,
A,left,mu,13,0.0,0.0,,0.0,
A,left,mu,14,-0.25600000000000006,-1.06,,-15.598457,
A,left,mu,15,-0.08399999999999999,-2.228,,3.0597534,
A,left,mu,16,,,,,
A,left,mu,17,-0.516,0.14800000000000013,,-0.39347076,
A,left,mu,18,0.296,-2.6479999999999997,,2.5774994,
