modality,hand,channel,band,n_trials,erd_onset_med,erd_onset_lo,erd_onset_hi,erd_peak_med,erd_peak_lo,erd_peak_hi,pmbr_peak_med,pmbr_peak_lo,pmbr_peak_hi
A,left,C3,beta,25,0.212,0.144,0.358,1.704,0.9,2.556,7.564,7.308,7.968
A,left,C3,mu,26,0.304,0.06,0.5660000000000001,1.876,1.284,2.88,,,
A,left,C4,beta,20,0.344,0.18,0.758,1.6320000000000001,1.498,2.228,7.038,6.75,7.808
A,left,C4,mu,21,0.116,0.032,0.228,1.98,1.668,2.088,,,
A,right,C3,beta,30,0.482,0.158,0.646,2.51,1.6600000000000001,2.996,7.7780000000000005,6.87,8.18
A,right,C3,mu,24,0.2,0.056,0.416,2.1420000000000003,1.26,2.684,,,
A,right,C4,beta,23,0.28800000000000003,0.11199999999999999,0.366,1.744,1.24,2.336,7.236,6.628,7.804
A,right,C4,mu,28,0.358,0.208,0.576,2.262,1.596,2.888,,,
V,left,C3,beta,24,0.376,0.1559,0.68,2.418,1.732,3.36,7.616,6.876,7.892
V,left,C3,mu,20,0.356,0.116,0.46799999999999997,2.934,2.056,3.748,,,
V,left,C4,beta,26,0.44,0.156,1.072,2.06,1.45,3.368,7.35,7.165850000000001,7.742
V,left,C4,mu,23,0.18,0.0,0.328,2.6,1.396,3.336,,,
V,right,C3,beta,23,0.33999999999999997,0.164,0.592,2.608,1.496,2.832,7.304,7.032,7.928
V,right,C3,mu,26,0.348,0.044,0.64,2.502,1.66,3.132,,,
V,right,C4,beta,22,0.588,0.344,0.988,1.914,1.548,2.816,7.866,7.392,8.062
V,right,C4,mu,25,0.44,0.092,0.592,2.708,2.08,3.176,,,
VA,left,C3,beta,23,0.256,0.04,0.396,2.836,1.992,3.524,7.496,7.064,7.892
VA,left,C3,mu,23,0.172,0.092,0.304,2.004,1.124,3.444,,,
VA,left,C4,beta,25,0.272,0.1,0.428,2.384,1.296,3.596,7.548,7.336,8.152
VA,left,C4,mu,25,0.196,0.036,0.4,1.52,0.98,3.192,,,
VA,right,C3,beta,23,0.532,0.436,0.708,2.3,1.304,2.792,7.464,7.104,7.848
VA,right,C3,mu,25,0.232,0.104,0.388,2.092,1.404,3.116,,,
VA,right,C4,beta,24,0.42400000000000004,0.2,0.69,3.3739999999999997,2.34,3.844,7.636,7.164,7.8
VA,right,C4,mu,28,0.314,0.154,0.52,2.654,1.6800000000000002,2.832,,,
