modality,hand,channel,band,trial,erd_onset_s,erd_peak_s,erd_peak_amp_pct,pmbr_peak_s,pmbr_amp_pct
V,left,C3,mu,0,0.0,4.424,-89.412575,,
V,left,C3,mu,1,0.076,3.42,-92.196625,,
V,left,C3,mu,2,0.116,4.092,-86.32454,,
V,left,C3,mu,3,0.444,2.116,-87.35462,,
V,left,C3,mu,4,0.04,4.472,-93.41418,,
V,left,C3,mu,5,2.568,3.388,-70.649475,,
V,left,C3,mu,6,0.0,2.452,-93.13781,,
V,left,C3,mu,7,0.372,4.1,-93.77583,,
V,left,C3,mu,8,0.0,4.28,-90.44938,,
V,left,C3,mu,9,0.228,3.492,-98.469284,,
V,left,C3,mu,10,3.116,3.2,-67.59188,,
V,left,C3,mu,11,0.492,3.42,-69.87513,,
V,left,C3,mu,12,1.052,3.02,-83.24208,,
V,left,C3,mu,13,1.236,3.748,-92.21902,,
V,left,C3,mu,14,1.792,4.072,-87.49611,,
V,left,C3,mu,15,0.68,1.468,-62.630413,,
V,left,C3,mu,16,1.8,2.48,-86.23256,,
V,left,C3,mu,17,2.64,4.168,-78.98212,,
V,left,C3,mu,18,0.0,1.996,-76.421364,,
V,left,C3,mu,19,0.424,1.164,-71.114944,,
V,left,C3,mu,20,0.736,0.968,-91.681404,,
V,left,C3,mu,21,0.34,2.788,-79.87404,,
V,left,C3,mu,22,0.436,0.864,-91.566536,,
V,left,C3,mu,23,2.124,2.224,-53.78698,,
V,left,C3,mu,24,0.336,2.848,-88.27242,,
V,left,C3,mu,25,1.296,1.904,-78.625145,,
V,left,C3,mu,26,2.352,2.436,-58.76535,,
V,left,C3,beta,0,0.556,1.256,-77.32351,8.5,215.61035
V,left,C3,beta,1,0.08,2.984,-82.081055,6.54,133.6942
V,left,C3,beta,2,0.68,3.928,-77.936386,6.556,292.2132
V,left,C3,beta,3,0.596,1.908,-84.6809,7.02,409.19424
V,left,C3,beta,4,0.128,3.844,-77.57301,7.112,113.360466
V,left,C3,beta,5,0.036,1.78,-76.41989,6.48,112.30894
V,left,C3,beta,6,0.492,1.22,-77.39886,7.748,219.99802
V,left,C3,beta,7,0.14,0.9,-96.35131,6.728,41.060577
V,left,C3,beta,8,2.24,0.912,-77.7694,8.188,309.91757
V,left,C3,beta,9,0.0,1.62,-79.67833,7.796,383.26962
V,left,C3,beta,10,0.0,2.884,-87.35935,8.436,151.42488
V,left,C3,beta,11,0.22,3.416,-66.15602,7.7,245.12764
V,left,C3,beta,12,1.092,3.092,-81.87524,6.404,302.8783
V,left,C3,beta,13,0.432,1.732,-77.10069,8.376,268.62778
V,left,C3,beta,14,0.172,1.924,-86.73412,8.328,334.97296
V,left,C3,beta,15,0.908,1.396,-82.665184,8.464,380.9206
V,left,C3,beta,16,0.868,4.18,-78.773056,8.096,867.8067
V,left,C3,beta,17,0.224,3.808,-70.72864,7.616,294.06265
V,left,C3,beta,18,0.32,2.024,-81.83359,8.0,419.30472
V,left,C3,beta,19,1.012,1.616,-77.89714,7.892,242.82323
V,left,C3,beta,20,1.024,3.36,-76.94031,6.656,180.42255
V,left,C3,beta,21,0.0,1.296,-76.86008,6.492,151.82893
V,left,C3,beta,22,1.0,2.812,-91.188324,7.616,230.96259
V,left,C3,beta,23,2.108,2.236,-64.184265,7.56,265.5889
V,left,C3,beta,24,0.152,4.444,-59.874325,6.876,301.1992
V,left,C3,beta,25,1.868,2.028,-69.44801,7.476,258.6284
V,left,C3,beta,26,1.1,3.924,-79.67751,7.288,238.17107
V,left,C4,mu,0,0.368,1.232,-92.467476,,
V,left,C4,mu,1,0.0,4.272,-83.147064,,
V,left,C4,mu,2,1.232,2.872,-77.34245,,
V,left,C4,mu,3,0.52,0.632,-79.43308,,
V,left,C4,mu,4,0.088,4.5,-82.16129,,
V,left,C4,mu,5,0.0,4.164,-52.846844,,
V,left,C4,mu,6,0.772,3.132,-72.09737,,
V,left,C4,mu,7,0.0,1.144,-96.986015,,
V,left,C4,mu,8,0.18,0.968,-80.394196,,
V,left,C4,mu,9,0.384,3.064,-87.142715,,
V,left,C4,mu,10,0.016,2.996,-88.99689,,
V,left,C4,mu,11,0.252,2.056,-97.77871,,
V,left,C4,mu,12,1.404,2.972,-76.99079,,
V,left,C4,mu,13,0.444,1.396,-93.01428,,
V,left,C4,mu,14,0.0,1.064,-74.38665,,
V,left,C4,mu,15,1.496,2.336,-92.517525,,
V,left,C4,mu,16,0.0,2.704,-91.804245,,
V,left,C4,mu,17,0.328,1.236,-78.52914,,
V,left,C4,mu,18,0.736,3.748,-88.48843,,
V,left,C4,mu,19,0.276,2.6,-82.824104,,
V,left,C4,mu,20,0.2,1.5,-85.78308,,
V,left,C4,mu,21,0.432,3.844,-94.358376,,
V,left,C4,mu,22,0.084,3.336,-84.96048,,
V,left,C4,mu,23,0.0,1.948,-87.35128,,
V,left,C4,mu,24,0.0,4.128,-82.55772,,
V,left,C4,mu,25,0.0,1.536,-73.839386,,
V,left,C4,mu,26,1.696,1.888,-94.261024,,
V,left,C4,beta,0,0.124,3.916,-84.92088,8.5,173.97643
V,left,C4,beta,1,0.156,4.296,-87.83989,8.18,128.51312
V,left,C4,beta,2,0.372,1.548,-84.667786,7.784,142.3038
V,left,C4,beta,3,0.0,0.672,-77.41843,7.4,152.55655
V,left,C4,beta,4,1.756,3.572,-80.250275,6.832,312.67615
V,left,C4,beta,5,0.54,2.18,-73.88644,6.98,240.78389
V,left,C4,beta,6,0.464,0.62,-77.29189,7.724,254.16527
V,left,C4,beta,7,0.0,1.516,-97.130356,7.76,-57.585354
V,left,C4,beta,8,1.772,1.94,-81.1045,7.12,146.6856
V,left,C4,beta,9,0.196,1.344,-73.21072,6.82,150.80156
V,left,C4,beta,10,1.208,3.304,-78.91435,6.372,359.49844
V,left,C4,beta,11,0.412,0.98,-82.18514,7.188,305.27316
V,left,C4,beta,12,2.12,4.208,-78.00544,7.796,90.3447
V,left,C4,beta,13,0.0,2.392,-84.921486,7.74,124.75778
V,left,C4,beta,14,1.072,1.264,-84.5079,7.292,211.23447
V,left,C4,beta,15,0.0,4.148,-70.48444,8.136,466.69675
V,left,C4,beta,16,0.544,0.836,-76.91676,7.2,190.04259
V,left,C4,beta,17,1.452,1.544,-89.39878,6.408,142.51332
V,left,C4,beta,18,1.172,2.384,-70.08627,6.672,258.86078
V,left,C4,beta,19,1.14,2.84,-86.152626,7.596,83.29598
V,left,C4,beta,20,0.084,3.432,-90.702835,8.112,176.27344
V,left,C4,beta,21,0.416,1.08,-85.73239,6.492,366.59692
V,left,C4,beta,22,1.084,3.808,-87.43456,7.904,323.9075
V,left,C4,beta,23,0.712,3.452,-79.81839,7.692,1171.0007
V,left,C4,beta,24,0.064,1.384,-85.52701,8.236,147.18361
V,left,C4,beta,25,1.208,1.792,-87.07794,7.212,186.19041
V,left,C4,beta,26,0.0,3.82,-91.91511,7.3,91.539
V,right,C3,mu,0,0.0,0.772,-96.98965,,
V,right,C3,mu,1,0.224,1.036,-91.284904,,
V,right,C3,mu,2,0.484,1.408,-77.181915,,
