modality,hand,channel,band,metric,unit,n_total,n_valid,prop_valid,mean,std,sem,median,mad,q1,q3,iqr,median_lo,median_hi
A,left,C3,beta,erd_onset_s,s,25,24,0.96,0.27099999999999996,0.24135631246192296,0.04926665097762101,0.212,0.198,0.07200000000000001,0.464,0.392,0.144,0.358
A,left,C3,mu,erd_onset_s,s,26,26,1.0,0.36030769230769233,0.3553637876014684,0.06969257259246651,0.304,0.304,0.0,0.616,0.616,0.06,0.5660000000000001
A,left,C4,beta,erd_onset_s,s,20,20,1.0,0.4686,0.4119279957519403,0.0921099000336583,0.344,0.296,0.159,0.822,0.6629999999999999,0.18,0.758
A,left,C4,mu,erd_onset_s,s,21,21,1.0,0.17352380952380955,0.19353749482919816,0.042233343803186905,0.116,0.116,0.0,0.232,0.232,0.032,0.228
A,right,C3,beta,erd_onset_s,s,30,30,1.0,0.4850666666666666,0.4198192495572953,0.07664815768580713,0.482,0.33399999999999996,0.10700000000000001,0.726,0.619,0.158,0.646
A,right,C3,mu,erd_onset_s,s,24,24,1.0,0.3303333333333333,0.3531954338503736,0.07209571603452873,0.2,0.2,0.049999999999999996,0.471,0.421,0.056,0.416
A,right,C4,beta,erd_onset_s,s,23,22,0.9565217391304348,0.3005454545454545,0.2677690417883661,0.05708855152713503,0.28800000000000003,0.20800000000000002,0.078,0.417,0.33899999999999997,0.11199999999999999,0.366
A,right,C4,mu,erd_onset_s,s,28,28,1.0,0.46614285714285714,0.43258462792551966,0.08175081046288084,0.358,0.32199999999999995,0.123,0.716,0.593,0.208,0.576
V,left,C3,beta,erd_onset_s,s,24,24,1.0,0.46799999999999997,0.39832693585305895,0.08130814530386007,0.376,0.30000000000000004,0.137,0.878,0.741,0.1559,0.68
V,left,C3,mu,erd_onset_s,s,20,20,1.0,0.4152,0.4051678794355691,0.09059829207173715,0.356,0.298,0.067,0.539,0.47200000000000003,0.116,0.46799999999999997
V,left,C4,beta,erd_onset_s,s,26,26,1.0,0.6133846153846153,0.5777805172847611,0.11331208200802809,0.44,0.44,0.094,1.126,1.0319999999999998,0.156,1.072
V,left,C4,mu,erd_onset_s,s,23,23,1.0,0.22086956521739132,0.2419074399148691,0.05044118808989596,0.18,0.18,0.0,0.376,0.376,0.0,0.328
V,right,C3,beta,erd_onset_s,s,23,22,0.9565217391304348,0.41345454545454546,0.38400108224955715,0.08186930581693526,0.33999999999999997,0.274,0.089,0.607,0.518,0.164,0.592
V,right,C3,mu,erd_onset_s,s,26,25,0.9615384615384616,0.39519999999999994,0.3955553058675866,0.07911106117351732,0.348,0.31200000000000006,0.0,0.648,0.648,0.044,0.64
V,right,C4,beta,erd_onset_s,s,22,21,0.9545454545454546,0.7546666666666666,0.6133792736417928,0.13385033100859747,0.588,0.4,0.244,1.228,0.984,0.344,0.988
V,right,C4,mu,erd_onset_s,s,25,25,1.0,0.4627200000000001,0.42181626331852123,0.08436325266370424,0.44,0.348,0.08,0.596,0.516,0.092,0.592
VA,left,C3,beta,erd_onset_s,s,23,21,0.9130434782608695,0.3196190476190476,0.3353706123366322,0.07318386747125276,0.256,0.228,0.028,0.416,0.38799999999999996,0.04,0.396
