modality,hand,band,trial_in_group,orig_epoch_index,channel,ers_onset_s,ers_peak_s,ers_peak_amp,detected,thr_percent,min_dur_s,search_start_s,search_end_s
A,left,beta,0,57,C4,7.856,8.5,77.96308201900555,True,30.0,0.15,6.25,8.5
A,left,beta,1,61,C4,6.338,6.468,69.2564597937474,True,30.0,0.15,6.25,8.5
A,left,beta,2,63,C4,,7.736,2.5496022709612403,False,30.0,0.15,6.25,8.5
A,left,beta,3,64,C4,,6.31,23.04174026921052,False,30.0,0.15,6.25,8.5
A,left,beta,4,65,C4,8.252,6.28,60.02273136889885,True,30.0,0.15,6.25,8.5
A,left,beta,5,66,C4,,6.31,22.501854607733232,False,30.0,0.15,6.25,8.5
A,left,beta,6,68,C4,,6.474,-6.332204281565711,False,30.0,0.15,6.25,8.5
A,left,beta,7,72,C4,6.25,7.906,153.47892414810835,True,30.0,0.15,6.25,8.5
A,left,beta,8,74,C4,6.374,6.892,106.47298826036005,True,30.0,0.15,6.25,8.5
A,left,beta,9,75,C4,7.146,8.232,241.55487173927366,True,30.0,0.15,6.25,8.5
A,left,beta,10,76,C4,6.988,8.106,103.2707106576108,True,30.0,0.15,6.25,8.5
A,left,beta,11,78,C4,,6.522,29.608327413172173,False,30.0,0.15,6.25,8.5
A,left,beta,12,81,C4,,7.884,4.1054357463733355,False,30.0,0.15,6.25,8.5
A,left,beta,13,84,C4,6.25,6.25,145.54811087730536,True,30.0,0.15,6.25,8.5
A,left,beta,14,85,C4,6.598,6.786,45.78705845469129,True,30.0,0.15,6.25,8.5
A,left,beta,15,88,C4,6.272,8.186,85.62938656172034,True,30.0,0.15,6.25,8.5
A,left,beta,16,89,C4,8.332,8.5,50.48522772961063,True,30.0,0.15,6.25,8.5
A,left,beta,17,91,C4,,7.298,22.642420576343554,False,30.0,0.15,6.25,8.5
A,left,beta,18,94,C4,6.538,6.596,41.36915701925558,True,30.0,0.15,6.25,8.5
A,left,beta,19,95,C4,6.25,6.396,141.84953220588417,True,30.0,0.15,6.25,8.5
A,left,beta,20,97,C4,,7.158,31.57572037923571,False,30.0,0.15,6.25,8.5
A,left,beta,21,101,C4,6.25,6.348,107.11186603943213,True,30.0,0.15,6.25,8.5
A,left,beta,22,102,C4,6.31,8.278,52.91088610997169,True,30.0,0.15,6.25,8.5
A,left,beta,23,104,C4,6.25,6.836,235.38934019957966,True,30.0,0.15,6.25,8.5
A,left,beta,24,107,C4,6.782,7.224,86.69287288864818,True,30.0,0.15,6.25,8.5
A,left,beta,25,110,C4,6.25,6.768,170.90197497918192,True,30.0,0.15,6.25,8.5
A,left,beta,26,111,C4,6.322,7.89,116.75285764821697,True,30.0,0.15,6.25,8.5
