modality,model,end_s,mean_bal_acc,sem_bal_acc
A,CSP+LDA,0.1,0.48666666666666664,0.041633319989322654
A,CSP+LDA,0.2,0.5,0.07051398600435393
A,CSP+LDA,0.3,0.5266666666666666,0.03274480450731417
A,CSP+LDA,0.4,0.41,0.03519785346990479
A,CSP+LDA,0.5,0.51,0.08844332774281066
A,CSP+LDA,0.6,0.3933333333333333,0.03009245014211298
A,CSP+LDA,0.7,0.4766666666666667,0.06616477747093069
A,CSP+LDA,0.8,0.44000000000000006,0.05976807025680368
A,CSP+LDA,0.9,0.44000000000000006,0.07612124831112824
A,CSP+LDA,1.0,0.45666666666666667,0.0669991708074726
A,CSP+LDA,1.1,0.44333333333333336,0.05233439489369194
A,CSP+LDA,1.2,0.45999999999999996,0.06467869303977417
A,CSP+LDA,1.3,0.42666666666666664,0.054416092391048346
A,CSP+LDA,1.4,0.42666666666666664,0.05691123692987956
A,CSP+LDA,1.5,0.42666666666666664,0.0396512575112344
A,CSP+LDA,1.6,0.42666666666666664,0.054416092391048346
A,CSP+LDA,1.7,0.42666666666666664,0.07102425250887505
A,CSP+LDA,1.8,0.44333333333333336,0.0642477842246546
A,CSP+LDA,1.9,0.39333333333333337,0.05467073155618909
A,CSP+LDA,2.0,0.39333333333333337,0.05338539126015656
A,CSP+LDA,2.1,0.44333333333333336,0.02560381915956202
A,CSP+LDA,2.2,0.42666666666666664,0.03965125751123439
A,CSP+LDA,2.3,0.44333333333333336,0.049609586887124045
A,CSP+LDA,2.4,0.44333333333333336,0.049609586887124045
A,CSP+LDA,2.5,0.43,0.07019813229550896
A,CSP+LDA,2.6,0.44666666666666666,0.060873274559165566
A,CSP+LDA,2.7,0.44333333333333336,0.06944222218666554
A,CSP+LDA,2.8,0.46333333333333326,0.06859705209085558
A,CSP+LDA,2.9,0.4633333333333334,0.04841946348777983
A,CSP+LDA,3.0,0.4633333333333334,0.07156970184527964
A,CSP+LDA,3.1,0.44666666666666666,0.06087327455916558
A,CSP+LDA,3.2,0.46333333333333326,0.06654154925892376
A,CSP+LDA,3.3,0.4633333333333334,0.07156970184527964
A,CSP+LDA,3.4,0.44666666666666666,0.07137537701787953
A,CSP+LDA,3.5,0.44666666666666666,0.0683942817622773
A,CSP+LDA,3.6,0.4633333333333334,0.06859705209085559
A,CSP+LDA,3.7,0.43000000000000005,0.07214953607304454
A,CSP+LDA,3.8,0.43000000000000005,0.07214953607304454
A,CSP+LDA,3.9,0.43000000000000005,0.07214953607304454
A,CSP+LDA,4.0,0.44666666666666666,0.0683942817622773
A,CSP+LDA,4.1,0.46333333333333326,0.09419247433963195
A,CSP+LDA,4.2,0.46333333333333326,0.09419247433963195
A,CSP+LDA,4.3,0.44666666666666666,0.0822259758902934
A,CSP+LDA,4.4,0.44666666666666666,0.0822259758902934
A,CSP+LDA,4.5,0.48,0.08981462390204986
A,CSP+LDA,4.6,0.4633333333333334,0.0780669228575358
A,CSP+LDA,4.7,0.46333333333333326,0.09419247433963195
A,CSP+LDA,4.8,0.44666666666666666,0.0683942817622773
A,CSP+LDA,4.9,0.4633333333333334,0.0780669228575358
A,CSP+LDA,5.0,0.5133333333333333,0.07771028817916512
V,CSP+LDA,0.1,0.5733333333333334,0.045521667612492205
V,CSP+LDA,0.2,0.49000000000000005,0.0696419413859206
