modality,model,time_s,fold,bal_acc
V,CSP+LDA,-4.0,0,0.5833333333333333
V,CSP+LDA,-3.9,0,0.41666666666666663
V,CSP+LDA,-3.8,0,0.5833333333333333
V,CSP+LDA,-3.7,0,0.6666666666666667
V,CSP+LDA,-3.6,0,0.75
V,CSP+LDA,-3.5,0,0.6666666666666666
V,CSP+LDA,-3.4,0,0.6666666666666666
V,CSP+LDA,-3.3,0,0.75
V,CSP+LDA,-3.2,0,0.75
V,CSP+LDA,-3.1,0,0.8333333333333334
V,CSP+LDA,-3.0,0,0.5833333333333334
V,CSP+LDA,-2.9,0,0.6666666666666667
V,CSP+LDA,-2.8,0,0.75
V,CSP+LDA,-2.7,0,0.6666666666666667
V,CSP+LDA,-2.6,0,0.5833333333333333
V,CSP+LDA,-2.5,0,0.8333333333333333
V,CSP+LDA,-2.4,0,0.6666666666666667
V,CSP+LDA,-2.3,0,0.5833333333333333
V,CSP+LDA,-2.2,0,0.5
V,CSP+LDA,-2.1,0,0.5833333333333333
V,CSP+LDA,-2.0,0,0.3333333333333333
V,CSP+LDA,-1.9,0,0.41666666666666663
V,CSP+LDA,-1.7999999999999998,0,0.41666666666666663
V,CSP+LDA,-1.7000000000000002,0,0.41666666666666663
V,CSP+LDA,-1.6,0,0.5
V,CSP+LDA,-1.5,0,0.3333333333333333
V,CSP+LDA,-1.4,0,0.5
V,CSP+LDA,-1.2999999999999998,0,0.5
V,CSP+LDA,-1.2000000000000002,0,0.5
V,CSP+LDA,-1.1,0,0.41666666666666663
V,CSP+LDA,-1.0,0,0.5
V,CSP+LDA,-0.8999999999999999,0,0.5833333333333334
V,CSP+LDA,-0.7999999999999998,0,0.5833333333333334
V,CSP+LDA,-0.7000000000000002,0,0.41666666666666663
V,CSP+LDA,-0.6000000000000001,0,0.75
V,CSP+LDA,-0.5,0,0.5833333333333333
V,CSP+LDA,-0.40000000000000036,0,0.5
V,CSP+LDA,-0.2999999999999998,0,0.5
V,CSP+LDA,-0.20000000000000018,0,0.5
V,CSP+LDA,-0.09999999999999964,0,0.6666666666666667
V,CSP+LDA,0.0,0,0.5
V,CSP+LDA,0.09999999999999964,0,0.5833333333333333
V,CSP+LDA,0.20000000000000018,0,0.5833333333333333
