component,modality,latency_s,amplitude_uV,channel
P1,V,0.13,0.7489538152871493,V_sens
N1,V,0.09,0.17540710698572162,V_sens
P2,V,0.162,0.8908328113653324,V_sens
P1,A,0.096,0.6801334537269873,A_sens
N1,A,0.166,-0.22695077239619463,A_sens
P2,A,0.15,0.142034217536517,A_sens
P1,AV,0.08,-2.3532831012469906,AV_sens
N1,AV,0.122,-3.6008962030905134,AV_sens
P2,AV,0.25,0.4689935285531589,AV_sens
P3b_like,V,0.514,0.5312324292382877,CP_surr
P3b_like,A,0.596,0.5835934641262641,CP_surr
P3b_like,AV,0.36,0.395379385138486,CP_surr
S-LRP,V,0.74,-1.8507184512608348,LRP_V
S-LRP,A,0.794,-0.3828222235145611,LRP_A
S-LRP,AV,0.696,-0.9550274764604406,LRP_AV
