modality,component,latency_s,amplitude_uV,channel
V,P1,0.13,0.7489538152871493,V_sens
V,N1,0.09,0.17540710698572162,V_sens
V,P2,0.162,0.8908328113653324,V_sens
V,CNV_trough,0.922,-1.982240907615171,Ccent
V,LRP_trough,0.74,-1.8507184512608348,LRP_V
A,P1,0.096,0.6801334537269873,A_sens
A,N1,0.166,-0.22695077239619463,A_sens
A,P2,0.15,0.142034217536517,A_sens
A,CNV_trough,0.994,-2.181870220368575,Ccent
A,LRP_trough,0.794,-0.3828222235145611,LRP_A
AV,P1,0.08,-2.3532831012469906,AV_sens
AV,N1,0.122,-3.6008962030905134,AV_sens
AV,P2,0.25,0.4689935285531589,AV_sens
AV,CNV_trough,0.902,-3.1627614481084163,Ccent
AV,LRP_trough,0.696,-0.9550274764604406,LRP_AV
