component,modality,channel,latency_s,amplitude_uV
P1,V,C3,0.084,-0.29036539759594987
N1,V,C3,0.158,-1.2510685412205067
P2,V,C3,0.25,1.0458824703484497
P1,V,C4,0.112,0.5208926171156419
N1,V,C4,0.126,0.24111391238145163
P2,V,C4,0.25,1.4062568218488025
P1,V,O1,0.13,0.9455738679258748
N1,V,O1,0.096,0.08002978840280896
P2,V,O1,0.16,0.9103956115037639
P1,V,O2,0.12,0.5631110275738421
N1,V,O2,0.09,0.22805899884501932
P2,V,O2,0.164,0.8985777312979124
P1,V,T3,0.084,-0.1026231964344381
N1,V,T3,0.154,-0.5510275164850473
P2,V,T3,0.25,0.7047629071258884
P1,V,T4,0.122,0.5420502841994103
N1,V,T4,0.166,-0.32865280412613784
P2,V,T4,0.15,0.42113315669693796
P1,V,Fp1,0.09,-0.23828584315968165
N1,V,Fp1,0.154,-0.6995549301167054
P2,V,Fp1,0.25,0.793287121598849
P1,V,Fp2,0.082,-0.11231633145832369
N1,V,Fp2,0.158,-0.44330864734229325
P2,V,Fp2,0.248,0.2642153342373319
P1,A,C3,0.08,-0.44512995263135124
N1,A,C3,0.16,-2.4129985384742163
P2,A,C3,0.246,-0.5653068127778368
P1,A,C4,0.08,0.11590634924965966
N1,A,C4,0.106,-0.368401801562878
P2,A,C4,0.188,0.4884738489093998
P1,A,O1,0.13,1.581123343006045
N1,A,O1,0.094,0.14834213339272398
P2,A,O1,0.168,3.19735906498245
P1,A,O2,0.13,2.4381692620817703
N1,A,O2,0.09,0.5968025177024604
P2,A,O2,0.166,3.6169271468323076
P1,A,T3,0.11,0.10733757712082453
N1,A,T3,0.164,-1.1590203169846804
P2,A,T3,0.186,-0.04976239452777186
P1,A,T4,0.096,1.2995991626999195
N1,A,T4,0.14,-0.28791246081322697
P2,A,T4,0.25,0.828105666987951
P1,A,Fp1,0.08,-0.056033473791746
N1,A,Fp1,0.108,-0.7486236454958525
P2,A,Fp1,0.246,0.0708699891652993
P1,A,Fp2,0.08,0.35604853705219225
N1,A,Fp2,0.166,-0.4348771242168719
P2,A,Fp2,0.25,0.1802216406898539
P1,AV,C3,0.11,2.5536654610262914
N1,AV,C3,0.17,1.226904969593828
P2,AV,C3,0.15,1.8918301422463442
P1,AV,C4,0.1,1.6572707702051905
N1,AV,C4,0.17,0.7271580783159107
P2,AV,C4,0.15,1.2382201112721274
P1,AV,O1,0.08,-2.2242786076009247
N1,AV,O1,0.122,-3.4108024821538785
P2,AV,O1,0.25,0.8694081208194125
P1,AV,O2,0.08,-2.4822875948930565
N1,AV,O2,0.124,-3.8018265252959007
P2,AV,O2,0.25,0.06857893628690516
P1,AV,T3,0.124,-0.16391622173729004
N1,AV,T3,0.106,-1.6719740357807826
P2,AV,T3,0.23,1.9559776803502391
P1,AV,T4,0.112,0.7706008175459296
N1,AV,T4,0.152,-0.001962613665257039
P2,AV,T4,0.25,1.39026562560161
P1,AV,Fp1,0.102,2.645750047915597
N1,AV,Fp1,0.16,1.3378990405421654
P2,AV,Fp1,0.15,1.5913831269729013
P1,AV,Fp2,0.124,1.1849133333254134
N1,AV,Fp2,0.102,0.6312229103427062
P2,AV,Fp2,0.15,1.089815136448104
